input,output
"Paragraph: <0> | <Torsade de pointes ventricular tachycardia during low dose intermittent dobutamine treatment in a patient with dilated cardiomyopathy and congestive heart failure .> Please extract all chemicals/genes/diseases mentioned in the paragraph. Answer with the format ""0 | <recognized entities>"""," Sure! Here are the recognized entities in the given paragraph:

0 | <Torsade de pointes ventricular tachycardia>
0 | <dilated cardiomyopathy>
0 | <congestive heart failure>
0 | <dobutamine>"
"Paragraph: <1> | <The authors describe the case of a 56 - year - old woman with chronic , severe heart failure secondary to dilated cardiomyopathy and absence of significant ventricular arrhythmias who developed QT prolongation and torsade de pointes ventricular tachycardia during one cycle of intermittent low dose ( 2 . 5 mcg / kg per min ) dobutamine .> Please extract all chemicals/genes/diseases mentioned in the paragraph. Answer with the format ""1 | <recognized entities>"""," Sure! Here are the recognized entities in the given paragraph:

1 | dobutamine
2 | dilated cardiomyopathy
3 | QT prolongation
4 | torsade de pointes ventricular tachycardia"
"Paragraph: <2> | <This report of torsade de pointes ventricular tachycardia during intermittent dobutamine supports the hypothesis that unpredictable fatal arrhythmias may occur even with low doses and in patients with no history of significant rhythm disturbances .> Please extract all chemicals/genes/diseases mentioned in the paragraph. Answer with the format ""2 | <recognized entities>"""," Sure! Here's the extract you requested:

2 | <recognized entities>

* Dobutamine
* Torsade de pointes ventricular tachycardia"
"Paragraph: <3> | <The mechanisms of proarrhythmic effects of Dubutamine are discussed .> Please extract all chemicals/genes/diseases mentioned in the paragraph. Answer with the format ""3 | <recognized entities>"""," Sure! Here are the recognized entities in the paragraph:

3 | Dubutamine
3 | Proarrhythmic effects"
"Paragraph: <4> | <Positive skin tests in late reactions to radiographic contrast media .> Please extract all chemicals/genes/diseases mentioned in the paragraph. Answer with the format ""4 | <recognized entities>"""," Sure! Here are the recognized entities in the paragraph you provided:

4 | <Positive skin tests in late reactions to radiographic contrast media>

* Radiographic contrast media (chemical)
* Late reactions (disease)

So the answer would be: 4 | <Radiographic contrast media, Late reactions>"
"Paragraph: <5> | <In the last few years delayed reactions several hours after the injection of radiographic and contrast materials ( PRC ) have been described with increasing frequency .> Please extract all chemicals/genes/diseases mentioned in the paragraph. Answer with the format ""5 | <recognized entities>"""," Sure! Here are the recognized entities in the paragraph you provided:

5 | <radiographic and contrast materials (PRC)>"
"Paragraph: <6> | <The authors report two observations on patients with delayed reactions in whom intradermoreactions ( IDR ) and patch tests to a series of ionic and non ionic PRC were studied .> Please extract all chemicals/genes/diseases mentioned in the paragraph. Answer with the format ""6 | <recognized entities>"""," Sure, here are the recognized entities in the paragraph you provided:

6 | <ionice PRC, non ionic PRC, IDR>

Here's a breakdown of the recognized entities:

* ionic PRC (ionically precipitated reactive cellulose)
* non ionic PRC (non-ionically precipitated reactive cellulose)
* IDR (intradermal reactions)"
"Paragraph: <7> | <After angiography by the venous route in patient n degree 1 a biphasic reaction with an immediate reaction ( dyspnea , loss of consciousness ) and delayed macro - papular rash appeared , whilst patient n degree 2 developed a generalised sensation of heat , persistent pain at the site of injection immediately and a generalised macro - papular reaction after 24 hours .> Please extract all chemicals/genes/diseases mentioned in the paragraph. Answer with the format ""7 | <recognized entities>"""," Sure! Here are the recognized entities in paragraph 7:

7 | <angiography, venous route, dyspnea, loss of consciousness, macro - papular rash, generalized sensation of heat, persistent pain, injection site, generalized macro - papular reaction>"
"Paragraph: <8> | <The skin tests revealed positive delayed reactions of 24 hours and 48 hours by IDR and patch tests to only some PRC with common chains in their structures .> Please extract all chemicals/genes/diseases mentioned in the paragraph. Answer with the format ""8 | <recognized entities>"""," Sure! Here are the recognized entities in the given paragraph:

8 | <The skin tests revealed positive delayed reactions of 24 hours and 48 hours by IDR and patch tests to only some PRC with common chains in their structures .>

* PRC (preservatives)
* IDR (irritant contact dermatitis)
* patch tests"
"Paragraph: <9> | <The positive skin tests are in favour of immunological reactions and may help in diagnosis of allergy in the patients .> Please extract all chemicals/genes/diseases mentioned in the paragraph. Answer with the format ""9 | <recognized entities>"""," Sure! Here are the recognized entities in the given paragraph:

9 | < IgE, allergens, allergy >"
